hospcode|hospname|hospname_short|hostype|address|road|mu|subdistcode|distcode|provcode|postcode|hoscodenew|bed|level_service|bedhos|hdc_regist|dep|hmain_sent|register_date|mcode|status|m_name|dep_name|zone_code|zone_name|chw_code|chw_name|amp_code|amp_name|tmb_code|tmb_name|bed_cmi|note|hostype_new|close_date|is_active
07476|โรงพยาบาลส่งเสริมสุขภาพตำบลวังน้ำคู้|รพ.สต.วังน้ำคู้|18|||03|02|01|65||GA0007476|0|-||1|21002|||21000|1|กระทรวงสาธารณสุข|สำนักงานปลัดกระทรวงสาธารณสุข|02|เขตสุขภาพที่ 2|65|พิษณุโลก|6501|เมืองพิษณุโลก|650102|วังน้ำคู้|||18||1
07477|โรงพยาบาลส่งเสริมสุขภาพตำบลงิ้วงาม|รพ.สต.งิ้วงาม|18|||03|20|01|65||GA0007477|0|-||1||||75000|1|องค์กรปกครองส่วนท้องถิ่น||02|เขตสุขภาพที่ 2|65|พิษณุโลก|6501|เมืองพิษณุโลก|650120|งิ้วงาม|||21||1
07478|โรงพยาบาลส่งเสริมสุขภาพตำบลวัดจันทร์|รพ.สต.วัดจันทร์|18|||07|03|01|65||GA0007478|0|-||1|21002|||21000|1|กระทรวงสาธารณสุข|สำนักงานปลัดกระทรวงสาธารณสุข|02|เขตสุขภาพที่ 2|65|พิษณุโลก|6501|เมืองพิษณุโลก|650103|วัดจันทร์|||18||1
07479|โรงพยาบาลส่งเสริมสุขภาพตำบลวัดพริก|รพ.สต.วัดพริก|18|26||01|04|01|65||GA0007479|0|-||1||||75000|1|องค์กรปกครองส่วนท้องถิ่น||02|เขตสุขภาพที่ 2|65|พิษณุโลก|6501|เมืองพิษณุโลก|650104|วัดพริก|||21||1
07480|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเสาหิน|รพ.สต.บ้านเสาหิน|18|53/3 ||07|04|01|65||GA0007480|0|-||1||||75000|1|องค์กรปกครองส่วนท้องถิ่น||02|เขตสุขภาพที่ 2|65|พิษณุโลก|6501|เมืองพิษณุโลก|650104|วัดพริก|||21||1
07481|โรงพยาบาลส่งเสริมสุขภาพตำบลท่าทอง|รพ.สต.ท่าทอง|18|68 ||05|05|01|65||GA0007481|0|-||1||||75000|1|องค์กรปกครองส่วนท้องถิ่น||02|เขตสุขภาพที่ 2|65|พิษณุโลก|6501|เมืองพิษณุโลก|650105|ท่าทอง|||21||1
07482|โรงพยาบาลส่งเสริมสุขภาพตำบลท่าโพธิ์|รพ.สต.ท่าโพธิ์|18|185||03|06|01|65||GA0007482|0|-||1||||75000|1|องค์กรปกครองส่วนท้องถิ่น||02|เขตสุขภาพที่ 2|65|พิษณุโลก|6501|เมืองพิษณุโลก|650106|ท่าโพธิ์|||21||1
07483|โรงพยาบาลส่งเสริมสุขภาพตำบลสมอแข|รพ.สต.สมอแข|18|||03|07|01|65||GA0007483|0|-||1||||75000|1|องค์กรปกครองส่วนท้องถิ่น||02|เขตสุขภาพที่ 2|65|พิษณุโลก|6501|เมืองพิษณุโลก|650107|สมอแข|||21||1
07484|โรงพยาบาลส่งเสริมสุขภาพตำบลดอนทอง|รพ.สต.ดอนทอง|18|||02|08|01|65||GA0007484|0|-||1||||75000|1|องค์กรปกครองส่วนท้องถิ่น||02|เขตสุขภาพที่ 2|65|พิษณุโลก|6501|เมืองพิษณุโลก|650108|ดอนทอง|||21||1
07485|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านป่า|รพ.สต.บ้านป่า|18|||07|09|01|65||GA0007485|0|-||1|00000|||75000|1|องค์กรปกครองส่วนท้องถิ่น|-|02|เขตสุขภาพที่ 2|65|พิษณุโลก|6501|เมืองพิษณุโลก|650109|บ้านป่า|||21||1
07486|โรงพยาบาลส่งเสริมสุขภาพตำบลปากโทก|รพ.สต.ปากโทก|18|||05|10|01|65||GA0007486|0|-||1||||75000|1|องค์กรปกครองส่วนท้องถิ่น||02|เขตสุขภาพที่ 2|65|พิษณุโลก|6501|เมืองพิษณุโลก|650110|ปากโทก|||21||1
07487|โรงพยาบาลส่งเสริมสุขภาพตำบลหัวรอ|รพ.สต.หัวรอ|18|||04|11|01|65||GA0007487|0|-||1|21002|||21000|1|กระทรวงสาธารณสุข|สำนักงานปลัดกระทรวงสาธารณสุข|02|เขตสุขภาพที่ 2|65|พิษณุโลก|6501|เมืองพิษณุโลก|650111|หัวรอ|||18||1
07488|โรงพยาบาลส่งเสริมสุขภาพตำบลจอมทอง|รพ.สต.จอมทอง|18|||02|12|01|65||GA0007488|0|-||1|21002|||21000|1|กระทรวงสาธารณสุข|สำนักงานปลัดกระทรวงสาธารณสุข|02|เขตสุขภาพที่ 2|65|พิษณุโลก|6501|เมืองพิษณุโลก|650112|จอมทอง|||18||1
07489|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านจอมทอง|รพ.สต.บ้านจอมทอง|18|58 ||05|12|01|65||GA0007489|0|-||1|21002|||21000|1|กระทรวงสาธารณสุข|สำนักงานปลัดกระทรวงสาธารณสุข|02|เขตสุขภาพที่ 2|65|พิษณุโลก|6501|เมืองพิษณุโลก|650112|จอมทอง|||18||1
07490|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกร่าง|รพ.สต.บ้านกร่าง|18|36 ||03|13|01|65||GA0007490|0|-||1|21002|||21000|1|กระทรวงสาธารณสุข|สำนักงานปลัดกระทรวงสาธารณสุข|02|เขตสุขภาพที่ 2|65|พิษณุโลก|6501|เมืองพิษณุโลก|650113|บ้านกร่าง|||18||1
07491|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคลอง|รพ.สต.บ้านคลอง|18|||02|14|01|65||GA0007491|0|-||1|21002|||21000|1|กระทรวงสาธารณสุข|สำนักงานปลัดกระทรวงสาธารณสุข|02|เขตสุขภาพที่ 2|65|พิษณุโลก|6501|เมืองพิษณุโลก|650114|บ้านคลอง|||18||1
07492|โรงพยาบาลส่งเสริมสุขภาพตำบลพลายชุมพล|รพ.สต.พลายชุมพล|18|||04|15|01|65||GA0007492|0|-||1||||75000|1|องค์กรปกครองส่วนท้องถิ่น||02|เขตสุขภาพที่ 2|65|พิษณุโลก|6501|เมืองพิษณุโลก|650115|พลายชุมพล|||21||1
07493|โรงพยาบาลส่งเสริมสุขภาพตำบลมะขามสูง|รพ.สต.มะขามสูง|18|||01|16|01|65||GA0007493|0|-||1||||75000|1|องค์กรปกครองส่วนท้องถิ่น||02|เขตสุขภาพที่ 2|65|พิษณุโลก|6501|เมืองพิษณุโลก|650116|มะขามสูง|||21||1
